Rijeka;Kroatien;3;418;578;444;613;5
Zadar;Kroatien;3;433;608;459;643;5
Split;Kroatien;3;450;613;476;648;5
Sarajewo;Bosnien/Herzogowina;2;482;608;508;643;5
Belgrad;Serbien;2;514;584;540;619;5
Tirana;Albanien;2;508;657;534;692;5
Skopje;Mazedonien;3;537;642;563;677;5
Sofia;Bulgarien;1;562;622;588;657;5
Warna;Bulgarien;3;631;584;657;619;5
Bukarest;Rumänien;1;600;571;626;606;5
Timisoara;Rumänien;3;517;559;543;594;5
Athen;Griechenland;1;587;720;613;755;5
Thessaloniki;Griechenland;2;564;663;590;698;5
Sparta;Griechenland;2;571;747;597;782;5
Rhodos;Griechenland;2;671;739;697;774;5
Nikosia;Griechenland;3;764;737;790;772;5
Istanbul;Türkei;1;660;630;686;665;5
Antalya;Türkei;2;710;712;736;747;5
Ankara;Türkei;2;717;632;743;667;5
Lissabon;Portugal;1;21;699;47;734;5
Coimbra;Portugal;3;37;671;63;706;5
Porto;Portugal;2;40;655;66;690;5
Faro;Portugal;3;36;743;62;778;5
